date,usdcny
2018-01-01,6.5067
2018-01-02,6.4935
2018-01-03,6.5012
2018-01-04,6.4935
2018-01-05,6.4878
2018-01-08,6.4998
2018-01-09,6.5315
2018-01-10,6.509
2018-01-11,6.499
2018-01-12,6.462
2018-01-15,6.4369
2018-01-16,6.4426
2018-01-17,6.4333
2018-01-18,6.4201
2018-01-19,6.404
2018-01-22,6.405
2018-01-23,6.413
2018-01-24,6.37
2018-01-25,6.3238
2018-01-26,6.3201
2018-01-29,6.3375
2018-01-30,6.324
2018-01-31,6.29
2018-02-01,6.298
2018-02-02,6.3028
2018-02-05,6.29
2018-02-06,6.2836
2018-02-07,6.2695
2018-02-08,6.327
2018-02-09,6.2969
2018-02-12,6.3285
2018-02-13,6.344
2018-02-14,6.3449
2018-02-15,6.3482
2018-02-16,6.3482
2018-02-19,6.3482
2018-02-20,6.3482
2018-02-21,6.3482
2018-02-22,6.35
2018-02-23,6.3381
2018-02-26,6.316
2018-02-27,6.3157
2018-02-28,6.3263
2018-03-01,6.3572
2018-03-02,6.3454
2018-03-05,6.346
2018-03-06,6.3098
2018-03-07,6.3238
2018-03-08,6.3422
2018-03-09,6.3359
2018-03-12,6.3292
2018-03-13,6.3247
2018-03-14,6.3172
2018-03-15,6.322
2018-03-16,6.335
2018-03-19,6.3322
2018-03-20,6.3339
2018-03-21,6.3243
2018-03-22,6.335
2018-03-23,6.3172
2018-03-26,6.2775
2018-03-27,6.2831
2018-03-28,6.299
2018-03-29,6.2893
2018-03-30,6.2753
2018-04-02,6.2798
2018-04-03,6.2894
2018-04-04,6.3042
2018-04-09,6.307
2018-04-10,6.2813
2018-04-11,6.2685
2018-04-12,6.2931
2018-04-13,6.2752
2018-04-16,6.2775
2018-04-17,6.2837
2018-04-18,6.2745
2018-04-19,6.277
2018-04-20,6.2957
2018-04-23,6.3167
2018-04-24,6.3066
2018-04-25,6.3269
2018-04-26,6.3314
2018-04-27,6.332
2018-05-02,6.3624
2018-05-03,6.3537
2018-05-04,6.3625
2018-05-07,6.3667
2018-05-08,6.3695
2018-05-09,6.3624
2018-05-10,6.3491
2018-05-11,6.3329
2018-05-14,6.3394
2018-05-15,6.3779
2018-05-16,6.3715
2018-05-17,6.3678
2018-05-18,6.38
2018-05-21,6.3842
2018-05-22,6.3675
2018-05-23,6.3903
2018-05-24,6.3785
2018-05-25,6.3918
2018-05-28,6.3985
2018-05-29,6.4176
